iter	Passed	Remaining
416	3070	5765
417	3085	5772
418	3095	5769
419	3103	5763
420	3114	5762
421	3127	5766
422	3140	5769
423	3151	5767
424	3162	5766
425	3170	5760
426	3180	5757
427	3189	5753
428	3198	5749
429	3206	5742
430	3214	5736
431	3222	5729
432	3231	5724
433	3240	5719
434	3249	5714
435	3259	5711
436	3269	5708
437	3278	5703
438	3287	5698
439	3295	5692
440	3303	5684
441	3312	5681
442	3320	5674
443	3329	5669
444	3338	5664
445	3346	5657
446	3355	5652
447	3362	5644
448	3372	5641
449	3380	5634
450	3391	5632
451	3398	5624
452	3407	5618
453	3416	5613
454	3424	5607
455	3433	5601
456	3442	5596
457	3451	5591
458	3460	5586
459	3469	5581
460	3477	5574
461	3485	5568
462	3493	5560
463	3501	5554
464	3508	5545
465	3516	5538
466	3523	5530
467	3531	5523
468	3538	5515
469	3545	5507
470	3552	5498
471	3559	5489
472	3567	5483
473	3574	5474
474	3582	5467
475	3589	5459
476	3596	5450
477	3604	5444
478	3614	5439
479	3623	5434
480	3631	5428
481	3639	5421
482	3647	5414
483	3655	5408
484	3663	5401
485	3670	5393
486	3678	5386
487	3685	5377
488	3694	5371
489	3702	5364
490	3710	5357
491	3717	5349
492	3723	5339
493	3731	5332
494	3738	5323
495	3745	5315
496	3751	5306
497	3757	5296
498	3763	5287
499	3769	5277
500	3776	5268
501	3781	5258
502	3787	5248
503	3793	5239
504	3799	5229
505	3805	5220
506	3812	5210
507	3818	5201
508	3825	5193
509	3830	5182
510	3836	5173
511	3843	5165
512	3851	5158
513	3858	5149
514	3864	5140
515	3870	5130
516	3876	5121
517	3882	5112
518	3889	5103
519	3895	5093
520	3901	5084
521	3908	5075
522	3914	5066
523	3920	5057
524	3925	5047
525	3931	5038
526	3938	5029
527	3943	5019
528	3950	5010
529	3956	5001
530	3962	4992
531	3968	4983
532	3974	4973
533	3979	4963
534	3986	4955
535	3993	4946
536	3999	4938
537	4006	4929
538	4012	4920
539	4019	4912
540	4025	4903
541	4030	4893
542	4037	4885
543	4043	4875
544	4049	4866
545	4055	4857
546	4061	4848
547	4067	4839
548	4073	4830
549	4081	4823
550	4093	4821
551	4105	4819
552	4126	4827
553	4137	4824
554	4145	4817
555	4155	4812
556	4164	4807
557	4172	4800
558	4181	4795
559	4189	4787
560	4197	4780
561	4204	4773
562	4212	4765
563	4220	4758
564	4227	4751
565	4234	4743
566	4241	4735
567	4248	4727
568	4255	4718
569	4262	4710
570	4268	4701
571	4274	4692
572	4282	4686
573	4289	4678
574	4298	4672
575	4307	4666
576	4315	4659
577	4322	4651
578	4328	4642
579	4336	4635
580	4344	4628
581	4351	4620
582	4358	4612
583	4365	4604
584	4372	4596
585	4380	4589
586	4386	4580
587	4393	4573
588	4401	4565
589	4408	4557
590	4414	4549
591	4421	4540
592	4429	4534
593	4437	4527
594	4445	4520
595	4452	4511
596	4459	4504
597	4468	4498
598	4475	4490
599	4484	4484
600	4496	4481
601	4503	4473
602	4514	4469
603	4525	4465
604	4533	4458
605	4542	4452
606	4550	4445
607	4561	4441
608	4569	4434
609	4581	4430
610	4590	4424
611	4600	4420
612	4610	4414
613	4616	4406
614	4626	4401
615	4635	4394
616	4643	4387
617	4651	4380
618	4660	4374
619	4668	4367
620	4678	4361
621	4687	4356
622	4696	4349
623	4704	4342
624	4712	4335
625	4719	4327
626	4730	4322
627	4738	4315
628	4746	4309
629	4756	4303
630	4765	4297
631	4775	4291
632	4784	4285
633	4792	4278
634	4800	4271
635	4808	4264
636	4815	4256
637	4824	4249
638	4831	4242
639	4840	4235
640	4848	4228
641	4858	4222
642	4866	4215
643	4875	4208
644	4882	4201
645	4890	4193
646	4897	4185
647	4905	4178
648	4912	4170
649	4921	4164
650	4928	4156
651	4937	4150
652	4944	4141
653	4952	4134
654	4959	4126
655	4973	4124
656	4979	4115
657	4992	4112
658	4999	4104
659	5007	4096
660	5013	4088
661	5021	4081
662	5028	4072
663	5036	4065
664	5043	4057
665	5051	4050
666	5058	4042
667	5066	4035
668	5075	4028
669	5083	4021
670	5091	4014
671	5099	4006
672	5106	3998
673	5115	3992
674	5124	3985
675	5132	3978
676	5139	3970
677	5147	3963
678	5155	3955
679	5163	3948
680	5170	3940
681	5179	3934
682	5187	3926
683	5195	3919
684	5202	3911
685	5209	3903
686	5218	3896
687	5225	3889
688	5233	3881
689	5241	3874
690	5248	3866
691	5255	3857
692	5263	3850
693	5270	3843
694	5280	3836
695	5287	3828
696	5296	3822
697	5303	3814
698	5312	3807
699	5320	3800
700	5328	3793
701	5335	3785
702	5344	3778
703	5350	3769
704	5359	3763
705	5368	3756
706	5376	3749
707	5382	3740
708	5390	3732
709	5398	3725
710	5408	3719
711	5414	3711
712	5422	3704
713	5430	3696
714	5437	3688
715	5445	3681
716	5455	3674
717	5462	3667
718	5469	3659
719	5477	3651
720	5491	3648
721	5503	3643
722	5513	3637
723	5523	3631
724	5532	3624
725	5542	3618
726	5550	3611
727	5560	3605
728	5572	3600
729	5579	3592
730	5589	3586
731	5598	3579
732	5608	3573
733	5614	3564
734	5624	3558
735	5630	3549
736	5639	3542
737	5645	3534
738	5653	3526
739	5661	3519
740	5668	3511
741	5675	3503
742	5682	3495
743	5689	3486
744	5694	3478
745	5702	3470
746	5707	3461
747	5714	3452
748	5721	3444
749	5727	3436
750	5734	3428
751	5741	3420
752	5748	3412
753	5754	3404
754	5761	3395
755	5768	3388
756	5775	3379
757	5782	3372
758	5789	3363
759	5795	3355
760	5801	3346
761	5807	3338
762	5814	3330
763	5820	3321
764	5827	3313
765	5835	3306
766	5842	3298
767	5848	3290
768	5854	3281
769	5860	3272
770	5866	3264
771	5872	3255
772	5879	3247
773	5885	3239
774	5891	3230
775	5898	3223
776	5905	3214
777	5912	3207
778	5919	3198
779	5924	3190
780	5930	3181
781	5936	3173
782	5942	3164
783	5948	3156
784	5954	3147
785	5961	3139
786	5967	3131
787	5973	3123
788	5979	3114
789	5985	3106
790	5991	3097
791	5997	3089
792	6003	3081
793	6009	3073
794	6016	3064
795	6022	3056
796	6030	3049
797	6036	3040
798	6043	3033
799	6049	3024
800	6056	3016
801	6061	3008
802	6067	2999
803	6074	2992
804	6081	2984
805	6087	2975
806	6093	2967
807	6099	2959
808	6105	2950
809	6111	2942
810	6117	2934
811	6124	2926
812	6131	2918
813	6137	2910
814	6143	2902
815	6148	2893
816	6155	2885
817	6160	2876
818	6166	2868
819	6172	2860
820	6177	2851
821	6183	2843
822	6189	2835
823	6196	2827
824	6202	2819
825	6208	2811
826	6214	2802
827	6222	2795
828	6228	2787
829	6234	2779
830	6241	2771
831	6247	2763
832	6253	2755
833	6260	2747
834	6266	2739
835	6273	2731
836	6279	2723
837	6286	2715
838	6291	2707
839	6297	2699
840	6303	2690
841	6310	2682
842	6316	2674
843	6321	2666
844	6328	2658
845	6334	2650
846	6341	2642
847	6347	2634
848	6353	2626
849	6359	2618
850	6366	2610
851	6372	2602
852	6377	2594
853	6384	2586
854	6389	2578
855	6395	2569
856	6401	2561
857	6407	2553
858	6413	2545
859	6419	2537
860	6425	2530
861	6433	2522
862	6439	2514
863	6445	2506
864	6452	2498
865	6457	2490
866	6465	2483
867	6470	2475
868	6477	2467
869	6485	2459
870	6492	2452
871	6499	2444
872	6505	2436
873	6511	2428
874	6517	2420
875	6522	2412
876	6530	2405
877	6537	2397
878	6544	2390
879	6550	2382
880	6557	2374
881	6564	2366
882	6570	2358
883	6575	2350
884	6582	2343
885	6589	2335
886	6596	2327
887	6602	2319
888	6609	2312
889	6615	2304
890	6621	2296
891	6628	2288
892	6635	2281
893	6641	2273
894	6648	2265
895	6656	2258
896	6664	2251
897	6672	2243
898	6682	2237
899	6688	2229
900	6697	2222
901	6706	2215
902	6715	2208
903	6722	2201
904	6730	2193
905	6738	2186
906	6747	2179
907	6753	2171
908	6761	2164
909	6768	2156
910	6776	2149
911	6783	2142
912	6792	2135
913	6800	2127
914	6809	2120
915	6816	2113
916	6825	2106
917	6834	2099
918	6843	2092
919	6849	2084
920	6857	2077
921	6867	2070
922	6874	2063
923	6884	2056
924	6892	2049
925	6898	2041
926	6907	2034
927	6914	2026
928	6922	2019
929	6929	2011
930	6938	2004
931	6945	1997
932	6955	1990
933	6962	1982
934	6970	1975
935	6979	1968
936	6989	1961
937	6997	1954
938	7005	1947
939	7013	1939
940	7021	1932
941	7029	1925
942	7039	1918
943	7046	1911
944	7055	1903
945	7063	1896
946	7072	1889
947	7082	1882
948	7090	1875
949	7097	1867
950	7104	1860
951	7112	1852
952	7120	1845
953	7128	1838
954	7136	1830
955	7143	1823
956	7151	1815
957	7157	1808
958	7166	1800
959	7173	1793
960	7182	1786
961	7190	1778
962	7199	1771
963	7205	1764
964	7214	1756
965	7222	1749
966	7230	1742
967	7238	1734
968	7247	1727
969	7253	1719
970	7262	1712
971	7270	1705
972	7279	1698
973	7287	1690
974	7295	1683
975	7302	1676
976	7310	1668
977	7318	1661
978	7326	1653
979	7335	1646
980	7343	1639
981	7356	1633
982	7368	1626
983	7379	1619
984	7388	1612
985	7398	1605
986	7405	1598
987	7416	1591
988	7424	1583
989	7434	1576
990	7444	1570
991	7454	1563
992	7464	1555
993	7471	1548
994	7480	1541
995	7486	1533
996	7493	1525
997	7502	1518
998	7508	1510
999	7517	1503
1000	7524	1495
1001	7532	1488
1002	7540	1480
1003	7548	1473
1004	7556	1466
1005	7564	1458
1006	7571	1451
1007	7578	1443
1008	7585	1435
1009	7592	1428
1010	7599	1420
1011	7607	1413
1012	7614	1405
1013	7621	1398
1014	7629	1390
1015	7637	1383
1016	7645	1375
1017	7654	1368
1018	7663	1361
1019	7671	1353
1020	7679	1346
1021	7687	1338
1022	7694	1331
1023	7703	1323
1024	7711	1316
1025	7719	1309
1026	7726	1301
1027	7733	1294
1028	7741	1286
1029	7748	1278
1030	7755	1271
1031	7762	1263
1032	7770	1256
1033	7777	1248
1034	7784	1240
1035	7791	1233
1036	7797	1225
1037	7804	1218
1038	7810	1210
1039	7816	1202
1040	7823	1194
1041	7828	1187
1042	7835	1179
1043	7842	1171
1044	7849	1164
1045	7855	1156
1046	7862	1148
1047	7868	1141
1048	7874	1133
1049	7881	1125
1050	7888	1118
1051	7894	1110
1052	7900	1102
1053	7907	1095
1054	7913	1087
1055	7920	1080
1056	7925	1072
1057	7932	1064
1058	7938	1057
1059	7944	1049
1060	7951	1041
1061	7956	1033
1062	7963	1026
1063	7969	1018
1064	7975	1010
1065	7981	1003
1066	7990	995
1067	7996	988
1068	8001	980
1069	8007	972
1070	8014	965
1071	8021	957
1072	8027	950
1073	8038	943
1074	8045	935
1075	8053	928
1076	8062	920
1077	8069	913
1078	8078	905
1079	8086	898
1080	8093	890
1081	8099	883
1082	8105	875
1083	8111	867
1084	8116	860
1085	8122	852
1086	8128	845
1087	8135	837
1088	8141	829
1089	8148	822
1090	8155	814
1091	8161	807
1092	8168	799
1093	8174	792
1094	8179	784
1095	8186	776
1096	8193	769
1097	8200	761
1098	8206	754
1099	8213	746
1100	8219	739
1101	8225	731
1102	8231	723
1103	8238	716
1104	8245	708
1105	8250	701
1106	8257	693
1107	8263	686
1108	8269	678
1109	8276	671
1110	8281	663
1111	8288	655
1112	8295	648
1113	8302	640
1114	8309	633
1115	8315	625
1116	8322	618
1117	8330	611
1118	8338	603
1119	8345	596
1120	8354	588
1121	8360	581
1122	8367	573
1123	8374	566
1124	8382	558
1125	8390	551
1126	8397	543
1127	8404	536
1128	8412	529
1129	8418	521
1130	8424	513
1131	8433	506
1132	8439	499
1133	8445	491
1134	8451	484
1135	8459	476
1136	8467	469
1137	8472	461
1138	8480	454
1139	8486	446
1140	8493	439
1141	8498	431
1142	8504	424
1143	8510	416
1144	8516	409
1145	8521	401
1146	8528	394
1147	8535	386
1148	8541	379
1149	8547	371
1150	8553	364
1151	8558	356
1152	8564	349
1153	8570	341
1154	8576	334
1155	8582	326
1156	8588	319
1157	8595	311
1158	8601	304
1159	8607	296
1160	8615	289
1161	8624	282
1162	8633	274
1163	8641	267
1164	8647	259
1165	8653	252
1166	8659	244
1167	8665	237
1168	8671	229
1169	8677	222
1170	8683	215
1171	8689	207
1172	8695	200
1173	8701	192
1174	8707	185
1175	8714	177
1176	8720	170
1177	8727	162
1178	8734	155
1179	8740	148
1180	8747	140
1181	8753	133
1182	8759	125
1183	8766	118
1184	8775	111
1185	8781	103
1186	8790	96
1187	8798	88
1188	8806	81
1189	8814	74
1190	8822	66
1191	8829	59
1192	8837	51
1193	8846	44
1194	8855	37
1195	8862	29
1196	8871	22
1197	8879	14
1198	8887	7
1199	8894	0
