iter	RMSE
363	2419460.548
364	2419092.096
365	2418049.03
366	2417483.218
367	2416991.62
368	2415874.728
369	2414907.095
370	2414452.352
371	2412399.207
372	2411874.511
373	2410953.33
374	2409404.702
375	2408675.642
376	2407844.24
377	2407515.911
378	2407253.613
379	2406835.446
380	2406069.35
381	2404844.7
382	2404415.181
383	2403095.049
384	2402606.073
385	2402100.901
386	2401386.787
387	2400528.822
388	2400146.362
389	2399751.74
390	2399379.352
391	2398417.869
392	2397972.21
393	2397387.013
394	2396530.209
395	2396227.002
396	2395581.309
397	2394819.103
398	2394145.533
399	2393771.774
400	2392196.334
401	2390453.181
402	2388298.025
403	2388128.561
404	2386805.732
405	2386597.259
406	2385990.514
407	2384858.429
408	2384378.221
409	2383616.96
410	2383085.178
411	2382444.311
412	2382211.18
413	2381967.475
414	2381667.49
415	2381310.136
416	2380719.376
417	2379898.773
418	2379384.522
419	2378344.784
420	2377809.65
421	2375878.163
422	2375194.68
423	2374939.121
424	2374067.241
425	2372850.786
426	2371964.32
427	2370414.816
428	2369595.956
429	2369083.672
430	2368354.115
431	2367939.041
432	2365190.645
433	2364781.349
434	2364506.086
435	2364046.312
436	2363431.612
437	2362846.016
438	2361953.946
439	2361763.827
440	2361218.248
441	2360471.318
442	2360143.883
443	2359694.229
444	2359236.242
445	2358994.04
446	2358733.958
447	2358238.596
448	2357691.49
449	2355543.517
450	2354988.345
451	2354370.827
452	2353923.634
453	2353046.821
454	2351140.103
455	2350439.377
456	2349822.215
457	2349181.157
458	2348152.166
459	2347612.195
460	2347086.188
461	2346812.894
462	2346246.572
463	2345171.967
464	2344169.119
465	2343641.245
466	2343340.356
467	2342727.033
468	2342279.898
469	2341842.727
470	2341498.817
471	2341047.731
472	2340581.039
473	2340140.185
474	2339578.513
475	2338357.866
476	2338086.905
477	2337231.807
478	2336966.943
479	2336637.218
480	2336431.357
481	2335761.772
482	2335543.839
483	2334574.055
484	2334332.823
485	2334199.587
486	2333908.622
487	2333366.031
488	2332867.163
489	2332531.539
490	2330767.053
491	2330419.57
492	2329776.314
493	2329047.174
494	2328362.385
495	2327796.236
496	2326876.642
497	2326316.919
498	2325591.087
499	2324905.138
500	2324464.043
501	2323354.456
502	2322986.095
503	2322681.144
504	2322242.394
505	2321735.52
506	2321246.709
507	2319827.773
508	2318804.542
509	2318122.59
510	2317694.561
511	2317356.649
512	2316941.326
513	2316837.825
514	2316602.691
515	2315816.636
516	2315219.646
517	2314835.917
518	2314349.25
519	2314016.047
520	2312181.804
521	2311454.129
522	2310773.979
523	2310431.971
524	2310190.307
525	2309970.461
526	2309698.894
527	2309304.222
528	2308735.808
529	2308562.871
530	2308165.69
531	2307860.101
532	2307385.612
533	2307199.963
534	2307013.348
535	2305565.744
536	2304958.811
537	2304622.747
538	2304370.66
539	2303126.281
540	2302823.652
541	2302700.904
542	2302144.042
543	2301654.123
544	2301213.805
545	2300760.816
546	2300539.353
547	2300264.012
548	2299554.771
549	2298125.235
550	2297241.876
551	2296942.25
552	2295582.815
553	2295330.88
554	2294982.4
555	2293998.745
556	2293575.266
557	2292642.014
558	2292184.443
559	2291695.541
560	2291337.268
561	2290448.507
562	2289999.932
563	2289231.642
564	2289044.356
565	2288536.831
566	2288008.706
567	2286828.803
568	2286182.948
569	2285736.297
570	2285461.906
571	2284879.727
572	2284331.093
573	2283784.269
574	2283525.001
575	2282974.952
576	2282804.155
577	2282310.747
578	2281855.201
579	2281480.355
580	2280788.094
581	2279930.102
582	2279508.668
583	2279293.766
584	2278782.038
585	2278563.342
586	2278266.483
587	2278010.911
588	2277657.857
589	2276550.905
590	2276132.983
591	2275650.601
592	2275275.543
593	2274881.041
594	2274542.237
595	2274208.942
596	2273676.573
597	2273253.38
598	2272682.861
599	2272450.089
600	2271469.673
601	2271057.092
602	2270834.567
603	2270161.357
604	2269966.222
605	2269796.17
606	2269498.491
607	2269015.633
608	2268603.626
609	2267955.148
610	2267319.719
611	2266989.64
612	2266653.839
613	2266337.831
614	2265752.648
615	2265251.744
616	2265098.014
617	2264696.158
618	2264482.239
619	2264287.428
620	2263609.224
621	2263171.489
622	2262808.609
623	2262559.614
624	2262167.862
625	2262017.12
626	2260736.593
627	2260551.597
628	2260203.288
629	2259696.327
630	2258613.947
631	2258333.887
632	2257908.215
633	2257532.878
634	2257116.059
635	2256556.6
636	2256402.544
637	2255950.219
638	2255576.948
639	2255456.731
640	2255039.984
641	2254104.92
642	2252671.821
643	2252010.088
644	2251453.978
645	2251129.267
646	2249850.866
647	2249428.385
648	2249258.758
649	2248114.628
650	2247457.856
651	2246663.704
652	2246478.827
653	2246199.892
654	2245859.028
655	2245555.888
656	2245195.434
657	2244701.633
658	2243766.792
659	2243501.812
660	2243144.142
661	2242765.993
662	2242383.42
663	2242203.372
664	2241849.131
665	2241238.215
666	2241021.458
667	2240683.305
668	2240241.752
669	2239999.914
670	2239741.926
671	2239475.509
672	2239139.022
673	2238848.005
674	2237434.018
675	2237238.348
676	2236659.06
677	2236360.243
678	2236006.223
679	2235741.254
680	2235345.225
681	2235143.915
682	2234602.05
683	2234311.987
684	2234030.72
685	2233130.359
686	2231901.573
687	2231115.867
688	2230857.691
689	2229859.706
690	2229490.99
691	2229162.793
692	2228568.921
693	2228353.374
694	2227587.519
695	2227111.321
696	2226848.465
697	2226475.991
698	2226266.906
699	2225877.839
700	2225687.045
701	2225374.962
702	2224826.316
703	2224529.838
704	2223803.507
705	2223065.047
706	2222894.978
707	2222528.336
708	2222077.772
709	2221241.879
710	2220891.918
711	2220545.836
712	2220030.673
713	2219735.677
714	2219569.995
715	2219469.456
716	2218633.837
717	2218408.466
718	2218249.461
719	2218003.946
720	2217562.818
721	2217383.257
722	2217033.108
723	2216390.328
724	2216066.706
725	2215931.468
726	2215497.604
727	2215167.385
728	2214739.628
729	2214613.966
730	2213977.849
731	2213435.612
732	2213162.552
733	2212634.15
734	2212020.596
735	2211539.308
736	2211044.623
737	2210359.494
738	2210108.444
739	2209821.332
740	2209536.481
741	2208913.91
742	2208598.154
743	2208471.961
744	2208289.536
745	2208127.875
746	2207656.033
747	2207248.602
748	2206546.052
749	2206102.664
750	2205430.561
751	2205190.444
752	2204738.583
753	2204152.955
754	2203783.381
755	2203450.691
756	2203259.123
757	2202528.654
758	2201827.222
759	2201424.963
760	2201224.98
761	2200891.174
762	2200318.779
763	2199725.791
764	2199473.762
765	2199085.934
766	2198760.122
767	2198456.664
768	2198159.896
769	2197904.509
770	2197608.011
771	2197359.475
772	2197090.369
773	2196808.377
774	2196280.016
775	2195718.727
776	2195205.634
777	2194997.062
778	2194680.687
779	2194514.147
780	2194365.306
781	2194159.965
782	2193703.157
783	2193350.383
784	2192851.954
785	2192540.393
786	2192386.462
787	2191851.502
788	2191612.182
789	2191341.598
790	2191219.423
791	2191027.373
792	2190574.769
793	2190122.844
794	2189776.352
795	2189287.917
796	2188949.496
797	2188615.933
798	2188401.234
799	2188187.454
800	2188013.582
801	2187266.642
802	2186856.076
803	2186281.367
804	2185846.115
805	2185701.429
806	2185308.765
807	2184978.322
808	2184582.772
809	2184116.993
810	2183936.026
811	2183758.05
812	2183127.419
813	2182757.224
814	2182382.85
815	2182116.695
816	2181798.368
817	2181509.166
818	2181145.422
819	2180900.108
820	2180714.612
821	2180387.705
822	2179988.986
823	2179758.134
824	2179372.973
825	2179137.308
826	2178902.37
827	2178342.569
828	2177987.464
829	2177662.686
830	2177462.957
831	2177251.801
832	2177115.909
833	2176733.141
834	2176486.567
835	2176109.981
836	2175949.675
837	2175594.049
838	2175270.387
839	2175130.037
840	2174822.226
841	2174079.262
842	2173829.821
843	2173552.81
844	2173344.924
845	2173150.175
846	2172995.011
847	2172766.812
848	2172574.093
849	2172191.664
850	2171985.473
851	2171671.731
852	2171174.864
853	2170821.635
854	2170459.021
855	2170234.941
856	2170131.528
857	2169945.173
858	2169709.183
859	2169520.75
860	2169356.172
861	2169248.461
862	2169047.284
863	2168783.991
864	2168517.008
865	2168378.199
866	2167868.371
867	2167643.135
868	2167160.208
869	2166839.056
870	2166537.347
871	2166090.313
872	2165902.231
873	2165661.422
874	2165361.412
875	2165129.147
876	2164912.209
877	2164397.394
878	2164205.385
879	2163975.22
880	2163331.27
881	2162815.647
882	2162650.249
883	2162454.321
884	2162127.328
885	2161750.372
886	2161546.724
887	2161248.872
888	2161116.242
889	2160843.611
890	2160638.648
891	2160497.693
892	2160196.983
893	2159992.836
894	2159778.908
895	2159089.456
896	2158946.939
897	2158813.513
898	2158605.35
899	2158444.632
900	2158127.302
901	2157889.105
902	2157632.23
903	2157475.635
904	2157324.601
905	2156614.46
906	2156470.871
907	2155947.367
908	2155753.255
909	2155600.236
910	2155380.126
911	2154894.288
912	2154356.707
913	2153997.022
914	2153660.183
915	2153578.642
916	2153043.684
917	2152906.289
918	2152467.674
919	2152176.135
920	2151614.1
921	2151246.412
922	2151016.007
923	2150540.541
924	2150443.001
925	2150106.833
926	2149571.507
927	2149383.692
928	2149193.739
929	2149001.213
930	2148388.571
931	2147773.45
932	2147481.722
933	2147165.235
934	2146916.103
935	2146710.196
936	2146358.18
937	2146038.444
938	2145829.168
939	2145719.523
940	2145553.84
941	2145323.954
942	2145201.722
943	2145072.773
944	2144898.724
945	2144786.176
946	2144294.573
947	2144133.774
948	2144005.064
949	2143851.163
950	2143415.573
951	2142802.956
952	2141970.403
953	2141716.766
954	2141448.475
955	2141249.753
956	2140971.124
957	2140641.15
958	2140423.228
959	2140159.728
960	2139472.407
961	2138959.723
962	2138549.766
963	2138376.343
964	2138194.072
965	2137950.463
966	2137726.611
967	2137056.756
968	2136847.918
969	2136791.027
970	2136579.145
971	2136465.46
972	2136274.667
973	2136105.024
974	2135937.895
975	2135740.914
976	2135621.947
977	2135364.28
978	2134524.108
979	2134270.256
980	2134115.531
981	2133994.468
982	2133747.985
983	2133473.412
984	2133010.887
985	2132602.998
986	2132453.023
987	2132178.317
988	2131955.822
989	2131629.608
990	2131500.012
991	2131108.656
992	2130729.233
993	2130492.778
994	2130093.154
995	2129855.591
996	2129636.755
997	2129316.29
998	2129157.202
999	2128748.885
1000	2128525.569
1001	2127947.48
1002	2127459.09
1003	2127017.492
1004	2126899.251
1005	2126463.122
1006	2126265.682
1007	2126124.525
1008	2125885.434
1009	2125448.288
1010	2125130.486
1011	2124535.273
1012	2124177.899
1013	2123891.554
1014	2123456.371
1015	2123205.756
1016	2122903.706
1017	2122604.305
1018	2122140.918
1019	2121879.239
1020	2121698.773
1021	2121209.951
1022	2121159.151
1023	2120578.748
1024	2120393.583
1025	2120274.599
1026	2120049.983
1027	2119631.703
1028	2119365.472
1029	2118992.601
1030	2118952.359
1031	2118809.569
1032	2118549.014
1033	2118360.375
1034	2118109.2
1035	2117890.339
1036	2117420.189
1037	2117080.763
1038	2116903.812
1039	2116418.29
1040	2115999.469
1041	2115888.992
1042	2115754.197
1043	2115467.94
1044	2115268.084
1045	2114899.088
1046	2114324.343
1047	2113972.244
1048	2113663.105
1049	2113489.887
1050	2113382.466
1051	2113341.759
1052	2113169.347
1053	2112650.932
1054	2112580.904
1055	2112374.545
1056	2112268.189
1057	2112123.013
1058	2111446.882
1059	2111329.945
1060	2111056.742
1061	2110904.729
1062	2110465.113
1063	2110338.9
1064	2109919.6
1065	2109779.085
1066	2109388.267
1067	2109288.553
1068	2108843.189
1069	2108720.867
1070	2108354.616
1071	2108016.57
1072	2107884.007
1073	2107701.777
1074	2107293.742
1075	2106966.226
1076	2106658.421
1077	2106474.5
1078	2105525.169
1079	2105225.533
1080	2105094.985
1081	2104979.366
1082	2104668.081
1083	2104572.091
1084	2104351.275
1085	2104143.291
1086	2104085.144
1087	2103820.293
1088	2103607.526
1089	2103482.618
1090	2103283.753
1091	2102864.669
1092	2102385.856
1093	2102141.792
1094	2102026.025
1095	2101754.713
1096	2101435.216
1097	2101075.236
1098	2100862.527
1099	2100658.669
1100	2100427.263
1101	2100169.602
1102	2100013.364
1103	2099719.049
1104	2099470.701
1105	2099276.964
1106	2099176.745
1107	2098985.542
1108	2098722.573
1109	2098475.129
1110	2098274.461
1111	2098118.366
1112	2097927.503
1113	2097782.431
1114	2097512.149
1115	2097264.903
1116	2097045.181
1117	2096864.236
1118	2096595.468
1119	2096313.804
1120	2096116.023
1121	2095700.762
1122	2095475.825
1123	2095242.944
1124	2095104.955
1125	2094675.801
1126	2094566.181
1127	2094326.514
1128	2093818.604
1129	2093727.381
1130	2093599.207
1131	2093405.91
1132	2092989.66
1133	2092858.993
1134	2092709.389
1135	2092401.853
1136	2092267.32
1137	2092171.137
1138	2092027.582
1139	2091928.552
1140	2091725.881
1141	2091592.601
1142	2091264.133
1143	2090942.817
1144	2090806.43
1145	2090580.679
1146	2090453.219
1147	2090187.539
1148	2090056.637
1149	2089914.506
1150	2089546.596
1151	2089466.582
1152	2089396.531
1153	2089194.334
1154	2089075.699
1155	2088920.742
1156	2088343.106
1157	2088103.5
1158	2087840.702
1159	2087477.275
1160	2087353.568
1161	2087308.748
1162	2087059.306
1163	2086646.661
1164	2086219.597
1165	2086009.782
1166	2085432.218
1167	2085180.575
1168	2084926.78
1169	2084795.79
1170	2084601.3
1171	2084125.683
1172	2084059.364
1173	2083953.507
1174	2083782.917
1175	2083525.369
1176	2083170.662
1177	2083092.387
1178	2082727.306
1179	2082428.944
1180	2082026.178
1181	2081908.542
1182	2081729.822
1183	2081393.784
1184	2081053.849
1185	2080927.801
1186	2080513.054
1187	2080004.057
1188	2079803.301
1189	2079428.209
1190	2079301.217
1191	2079154.422
1192	2078853.297
1193	2078659.563
1194	2078538.205
1195	2078445.398
1196	2078333.698
1197	2078247.449
1198	2078039.478
1199	2077747.17
